% 1. Title: Admit-Reject Database
   
@RELATION marks

   @ATTRIBUTE aggregate	NUMERIC
   @ATTRIBUTE AWA	NUMERIC
   @ATTRIBUTE GRE	NUMERIC
   @ATTRIBUTE TOEFL	NUMERIC
   @ATTRIBUTE class	{admit,reject}

@DATA
74.4,3,299,92,reject
71.7,2.5,290,70,reject
77.7,3,295,88,reject
72.5,2.5,303,104,reject
76,3,295,105,reject
77.2,3,305,99,admit
69,2,298,81,reject
71.2,3,298,81,reject
81.8,3,302,89,reject
89,2.5,299,91,reject
87,3,302,100,admit
75.6,3,305,106,admit
